Year,State,Subcategory,Sales,Quantity,Discount,Profit,Profit_Margin
2016,Kentucky,Bookcases,261.96,2,0,41.9136,0.16000000000000003
2016,Kentucky,Chairs,731.94,3,0,219.582,0.3
2016,California,Labels,14.62,2,0,6.8714,0.47000000000000003
2015,Florida,Tables,957.5775,5,0.45,-383.031,-0.4
2015,Florida,Storage,22.368,2,0.2,2.5164,0.1125
2014,California,Furnishings,48.86,7,0,14.1694,0.29
2014,California,Art,7.28,4,0,1.9656,0.27
2014,California,Phones,907.152,6,0.2,90.7152,0.09999999999999999
2014,California,Binders,18.504,3,0.2,5.7825,0.31249999999999994
2014,California,Appliances,114.9,5,0,34.47,0.3
2014,California,Tables,1706.184,9,0.2,85.3092,0.05
2014,California,Phones,911.424,4,0.2,68.3568,0.07500000000000001
2017,North Carolina,Paper,15.552,3,0.2,5.4432,0.35000000000000003
2016,Washington,Binders,407.976,3,0.2,132.5922,0.32499999999999996
2015,Texas,Appliances,68.81,5,0.8,-123.858,-1.8
2015,Texas,Binders,2.544,3,0.8,-3.816,-1.5
2014,Wisconsin,Storage,665.88,6,0,13.3176,0.02
2014,Utah,Storage,55.5,2,0,9.99,0.18
2014,California,Art,8.56,2,0,2.4824,0.29
2014,California,Phones,213.48,3,0.2,16.011,0.075
2014,California,Binders,22.72,4,0.2,7.384,0.325
2016,Nebraska,Art,19.46,7,0,5.0596,0.25999999999999995
2016,Nebraska,Appliances,60.34,7,0,15.6884,0.25999999999999995
2017,Pennsylvania,Chairs,71.372,2,0.3,-1.0196,-0.014285714285714287
2015,Utah,Tables,1044.63,3,0,240.2649,0.22999999999999998
2016,California,Binders,11.648,2,0.2,4.2224,0.36250000000000004
2016,California,Accessories,90.57,3,0,11.7741,0.13
2015,Pennsylvania,Bookcases,3083.43,7,0.5,-1665.0522,-0.54
2015,Pennsylvania,Binders,9.618,2,0.7,-7.0532,-0.7333333333333334
2015,Pennsylvania,Furnishings,124.2,3,0.2,15.525,0.125
2015,Pennsylvania,Envelopes,3.264,2,0.2,1.1016,0.3375
2015,Pennsylvania,Art,86.304,6,0.2,9.7092,0.11249999999999999
2015,Pennsylvania,Binders,6.858,6,0.7,-5.715,-0.8333333333333334
2015,Pennsylvania,Art,15.76,2,0.2,3.546,0.22499999999999998
2017,Texas,Paper,29.472,3,0.2,9.9468,0.33749999999999997
2016,Texas,Phones,1097.544,7,0.2,123.4737,0.11249999999999999
2016,Texas,Furnishings,190.92,5,0.6,-147.963,-0.775
2015,Texas,Envelopes,113.328,9,0.2,35.415,0.3125
2015,Texas,Bookcases,532.3992,3,0.32,-46.9764,-0.08823529411764706
2015,Texas,Chairs,212.058,3,0.3,-15.147,-0.07142857142857144
2015,Texas,Phones,371.168,4,0.2,41.7564,0.1125
2017,Illinois,Phones,147.168,4,0.2,16.5564,0.11249999999999999
2016,California,Storage,77.88,2,0,3.894,0.05
2017,Florida,Storage,95.616,2,0.2,9.5616,0.1
2016,Minnesota,Accessories,45.98,2,0,19.7714,0.43000000000000005
2016,Minnesota,Binders,17.46,2,0,8.2062,0.47000000000000003
2014,Michigan,Storage,211.96,4,0,8.4784,0.04
2016,Delaware,Accessories,45,3,0,4.95,0.11
2016,Delaware,Phones,21.8,2,0,6.104,0.27999999999999997
2015,Indiana,Binders,38.22,6,0,17.9634,0.47000000000000003
2015,Indiana,Labels,75.18,6,0,35.3346,0.47
2015,Indiana,Furnishings,6.16,2,0,2.9568,0.48
2015,Indiana,Chairs,89.99,1,0,17.0981,0.19
2016,New York,Fasteners,15.26,7,0,6.2566,0.41
2016,New York,Phones,1029.95,5,0,298.6855,0.29
2016,New York,Storage,208.56,6,0,52.14,0.25
2016,New York,Paper,32.4,5,0,15.552,0.48
2016,New York,Chairs,319.41,5,0.1,7.098,0.02222222222222222
2016,New York,Paper,14.56,2,0,6.9888,0.48
2016,New York,Accessories,30,2,0,3.3,0.11
2016,New York,Binders,48.48,4,0.2,16.362,0.33749999999999997
2016,New York,Art,1.68,1,0,0.84,0.5
2015,California,Accessories,13.98,2,0,6.1512,0.44
2015,California,Binders,25.824,6,0.2,9.3612,0.3625
2015,California,Paper,146.73,3,0,68.9631,0.47000000000000003
2015,California,Furnishings,79.76,4,0,22.3328,0.27999999999999997
2015,Illinois,Chairs,213.115,5,0.3,-15.2225,-0.07142857142857142
2014,Arizona,Art,1113.024,8,0.2,111.3024,0.10000000000000002
2014,Arizona,Phones,167.968,4,0.2,62.988,0.375
2016,Virginia,Paper,75.88,2,0,35.6636,0.4700000000000001
2016,New York,Binders,4.616,1,0.2,1.731,0.37500000000000006
2017,Michigan,Paper,19.05,3,0,8.763,0.45999999999999996
